#{"t_start": 1610484829.1881676, "env_id": "Pendulum-v0"}
r,l,t
-1438.618076,200,2.652713
-1281.851286,200,3.332696
-1176.045081,200,4.026909
-1182.840009,200,4.703525
-1146.752418,200,5.376997
-1297.977731,200,6.064588
-1360.264192,200,7.630186
-1158.422686,200,8.311365
-1157.371134,200,9.001113
-1049.464224,200,9.67574
-1280.873174,200,10.359289
-1391.900548,200,11.040756
-1032.145421,200,12.590875
-1640.500873,200,13.28064
-1022.590459,200,13.970425
-842.860068,200,14.634003
-1174.532725,200,15.320983
-1049.830432,200,15.995672
-1028.812554,200,17.520383
-1143.191657,200,18.19636
-885.543312,200,18.875012
-1105.940098,200,19.530264
-993.954697,200,20.18124
-1149.173461,200,20.858609
-1288.896854,200,21.524064
-1130.169987,200,23.073395
-1216.383232,200,23.749229
-1088.477575,200,24.416676
-982.587939,200,25.091758
-889.152394,200,25.769938
-1005.576672,200,26.436329
-984.727821,200,27.965606
-1167.921987,200,28.619421
-1029.801801,200,29.289532
-940.330711,200,29.967223
-1095.927938,200,30.640417
-979.247464,200,31.313037
-987.422415,200,32.876096
-1134.53019,200,33.547138
-1116.086547,200,34.223941
-1003.017469,200,34.893917
-1022.599495,200,35.575038
-1143.021332,200,36.235933
-1291.597443,200,37.75182
-1298.966375,200,38.422808
-1133.197762,200,39.101288
-999.393267,200,39.787746
-1367.475687,200,40.452649
-903.795887,200,41.136144
-1089.884817,200,41.810662
-996.819525,200,43.339648
-1047.102607,200,44.018375
-1106.555792,200,44.670074
-1206.191827,200,45.326531
-1137.676625,200,46.005635
-1169.590848,200,46.687197
-1133.396855,200,48.23387
-1128.263529,200,48.920713
-1057.42924,200,49.598192
-946.238657,200,50.259541
-1032.209952,200,50.941708
-1061.33614,200,51.616013
-1010.559373,200,53.125877
-905.82973,200,53.799821
-1115.882581,200,54.47832
-1021.953122,200,55.140491
-1112.382186,200,55.811043
-1076.211034,200,56.491309
-927.812062,200,58.035717
-1142.644179,200,58.716395
-1095.064498,200,59.39423
-1083.763034,200,60.061065
-1005.329874,200,60.73813
-1169.878716,200,61.402708
-1209.727927,200,62.062339
-1117.052551,200,63.617957
-1013.496664,200,64.305882
-1087.411426,200,64.973055
-994.390971,200,65.658392
-1126.141752,200,66.340775
-1042.972607,200,67.006721
-1017.653944,200,68.562627
-1067.057438,200,69.25879
-1186.822771,200,69.90361
-1007.592319,200,70.574853
-1006.120913,200,71.25438
-982.951872,200,71.915955
-1000.524939,200,73.457611
-1002.686452,200,74.139174
-877.72205,200,74.801414
-1091.53576,200,75.478803
-948.902685,200,76.153463
-862.613921,200,76.814301
-1076.64622,200,78.345526
-1029.491114,200,79.01389
-973.562596,200,79.680839
-1003.110876,200,80.359982
-994.89004,200,81.046817
-1191.64704,200,81.707793
-1007.532208,200,82.386789
-758.667045,200,83.939065
-1061.069378,200,84.616002
-1094.210835,200,85.293164
-1008.141618,200,85.977785
-895.708851,200,86.631524
-998.055457,200,87.289337
-1091.255566,200,88.842674
-992.439499,200,89.518213
-871.695965,200,90.195107
-878.716759,200,90.870291
-1058.85667,200,91.544181
-909.638683,200,92.220093
-1043.471131,200,93.771583
-883.099215,200,94.458239
-860.798175,200,95.114672
-1012.70923,200,95.768788
-890.761119,200,96.44195
-970.088572,200,97.122089
-1025.262174,200,98.65961
-982.116739,200,99.339919
-956.191041,200,100.019567
-867.976779,200,100.687392
-989.712927,200,101.361137
-964.94481,200,102.043346
-884.302135,200,102.708881
-967.059106,200,104.238235
-984.274263,200,104.92086
-997.964442,200,105.583004
-898.533766,200,106.262399
-866.27386,200,106.944326
-978.139476,200,107.602543
-1006.110338,200,109.165314
-874.908317,200,109.850788
-959.745681,200,110.512693
-1105.523978,200,111.190876
-998.510677,200,111.872482
-887.905785,200,112.513799
-876.199862,200,114.088725
-972.85783,200,114.772471
-867.739096,200,115.43321
-855.305567,200,116.109874
-867.646357,200,116.791084
-881.267065,200,117.453339
-928.266153,200,119.003253
-970.176019,200,119.686124
-871.089647,200,120.335864
-1021.15544,200,121.001289
-982.789141,200,121.678977
-787.219544,200,122.340931
-878.080526,200,123.024849
-1017.741582,200,124.587006
-1003.674114,200,125.250055
-884.609524,200,125.93001
-976.712176,200,126.611251
-975.4281,200,127.288196
-878.501102,200,127.965931
-1147.688644,200,129.478314
-758.016007,200,130.134297
-722.063352,200,130.820233
-888.647643,200,131.497666
-876.897785,200,132.156761
-754.760997,200,132.838737
-749.101347,200,134.384823
-897.525715,200,135.051311
-963.60618,200,135.736379
-947.199401,200,136.414724
-791.909329,200,137.075281
-972.372497,200,137.723989
-875.119573,200,139.28023
-973.311022,200,139.956849
