,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
0,0,-1107.8696052,2021-01-12 00:43:18.704246,2021-01-12 02:36:13.830500,0 days 01:52:55.126254,relu,16,0.3,4.5435062358535566e-05,0.8,0.99,-3.8994999919356585,0.00016615770552497351,0.5,10,8,small,64,0.6156080173450961,,COMPLETE
1,1,-1004.0710616,2021-01-12 00:43:18.710265,2021-01-12 02:38:03.200320,0 days 01:54:44.490055,relu,256,0.2,0.0002594838204777589,0.98,0.999,-1.9067239734050743,3.296297561194787e-05,0.3,10,8,small,8,0.621864980536024,,COMPLETE
2,2,-1303.1774934,2021-01-12 00:43:18.723185,2021-01-12 00:47:17.174571,0 days 00:03:58.451386,relu,256,0.3,6.62395253226946e-05,0.99,0.9999,-3.2029174396254563,0.12228891493593862,0.5,1,256,small,16,0.6303182975374486,,COMPLETE
3,3,-148.78306700000002,2021-01-12 00:43:18.734879,2021-01-12 00:48:56.661574,0 days 00:05:37.926695,relu,512,0.2,0.0006737633725841572,0.95,0.98,0.26580130210153996,0.04166790347907025,0.8,5,256,small,32,0.8564399915890876,,COMPLETE
4,4,-1486.6830794000002,2021-01-12 00:47:17.210415,2021-01-12 01:20:52.067756,0 days 00:33:34.857341,tanh,64,0.1,4.809688924625778e-07,0.92,0.99,-1.4672573746205217,0.018100551779385805,0.8,5,16,medium,256,0.7242850319895804,,COMPLETE
5,5,-1191.2021294,2021-01-12 00:48:56.694019,2021-01-12 00:55:08.621376,0 days 00:06:11.927357,tanh,64,0.3,5.754516693830379e-07,0.95,0.99,0.5551638324330392,0.0002471399313689559,0.7,1,32,medium,32,0.42663297473277234,,COMPLETE
6,6,,2021-01-12 00:55:08.649500,2021-01-12 01:01:59.288459,0 days 00:06:50.638959,relu,128,0.2,3.154146278441309e-06,0.8,0.995,-0.3216740985609139,0.5338462010011515,2.0,5,1024,small,32,0.6622804379444052,"Trial 6 failed, because the objective function returned nan.",FAIL
7,7,-1468.0016672000002,2021-01-12 01:01:59.298032,2021-01-12 01:05:28.818648,0 days 00:03:29.520616,tanh,256,0.2,3.9115247901400447e-07,0.92,0.99,-2.5517830393566254,0.014131204894935006,0.3,1,512,small,8,0.8720739822279177,,COMPLETE
8,8,-1348.6756488,2021-01-12 01:05:28.858375,2021-01-12 03:04:01.707817,0 days 01:58:32.849442,tanh,32,0.3,1.464413638824023e-08,0.95,0.98,-1.0277149538573846,0.007515182728725838,0.9,10,8,small,32,0.2323696064657558,,COMPLETE
9,9,-453.3281099999999,2021-01-12 01:20:52.096646,2021-01-12 01:51:53.304737,0 days 00:31:01.208091,relu,128,0.2,2.695530152838977e-05,0.9,0.99,-0.6226827690413055,5.9813034390854894e-05,0.8,5,16,medium,16,0.19296187107200272,,COMPLETE
10,10,-844.5239703999999,2021-01-12 01:51:53.328855,2021-01-12 02:49:17.184099,0 days 00:57:23.855244,relu,16,0.4,1.6810648623823868e-08,0.9,0.98,0.15472546789863362,0.04743938753829858,2.0,10,512,small,64,0.7987033536232965,,COMPLETE
