,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
0,0,-449.1627466,2021-01-12 00:43:29.541369,2021-01-12 00:51:24.155264,0 days 00:07:54.613895,32,100000,0.9999,0,-2.462138204972132,0.0009665533954139497,big,0.001,8,,COMPLETE
1,1,-155.0425152,2021-01-12 00:51:24.176070,2021-01-12 01:57:09.915673,0 days 01:05:45.739603,32,100000,0.95,20000,0.286197168370772,0.00016037734882537582,small,0.001,256,,COMPLETE
2,2,-145.7021252,2021-01-12 01:57:09.948236,2021-01-12 02:10:51.174784,0 days 00:13:41.226548,256,100000,0.99,10000,0.666919554452897,0.0009420816576731236,medium,0.01,32,,COMPLETE
3,3,-1472.7180966,2021-01-12 02:10:51.195378,2021-01-12 02:17:18.328379,0 days 00:06:27.133001,64,10000,0.995,1000,-2.126413375516199,0.20933673052222523,medium,0.005,8,,COMPLETE
4,4,-1609.8320646,2021-01-12 02:17:18.347601,2021-01-12 02:31:27.715302,0 days 00:14:09.367701,64,100000,0.995,1000,-2.7024481515278644,0.6924328354409116,big,0.001,32,,COMPLETE
5,5,-1188.1137132,2021-01-12 02:31:27.745403,2021-01-12 02:53:44.385493,0 days 00:22:16.640090,32,100000,0.9999,20000,-1.576133359632029,0.00023429672460355266,small,0.02,64,,COMPLETE
6,6,,2021-01-12 02:53:44.403854,2021-01-12 03:07:42.434666,0 days 00:13:58.030812,32,100000,0.9,1000,-3.7276169712285125,0.043361873950577424,small,0.02,32,"Trial 6 failed, because the objective function returned nan.",FAIL
7,7,-146.7482204,2021-01-12 03:07:42.445185,2021-01-12 03:52:49.405285,0 days 00:45:06.960100,64,100000,0.995,0,0.8652063667741956,0.0008096919306545649,medium,0.005,128,,COMPLETE
8,8,-155.116519,2021-01-12 03:52:49.425798,2021-01-12 04:35:07.574724,0 days 00:42:18.148926,64,10000,0.95,20000,-3.389216519617428,0.0007722330217761616,big,0.005,128,,COMPLETE
9,9,-151.6711378,2021-01-12 04:35:07.606961,2021-01-12 05:42:37.595360,0 days 01:07:29.988399,128,100000,0.95,0,0.42193829422059803,3.9120171528818674e-05,medium,0.01,256,,COMPLETE
10,10,-1609.8320646,2021-01-12 05:42:37.614170,2021-01-12 06:44:54.396679,0 days 01:02:16.782509,16,10000,0.9999,1000,-2.944588083254195,0.36043031633309347,medium,0.005,256,,COMPLETE
11,11,-1124.885641,2021-01-12 06:44:54.415676,2021-01-12 06:46:34.270036,0 days 00:01:39.854360,512,1000000,0.9,0,0.9999999999999999,0.00021651883771739327,small,0.001,8,,PRUNED
12,12,-1165.2041504000001,2021-01-12 06:46:34.277072,2021-01-12 07:01:41.348242,0 days 00:15:07.071170,128,10000,0.9,20000,-4.0,0.9999999999999999,big,0.001,256,,PRUNED
13,13,-1139.9821392,2021-01-12 07:01:41.356619,2021-01-12 07:03:21.470635,0 days 00:01:40.114016,512,1000000,0.9,0,0.9999999999999999,0.00021651884065328824,small,0.001,8,,PRUNED
14,14,-151.89916100000002,2021-01-12 07:03:21.477487,2021-01-12 07:45:45.808131,0 days 00:42:24.330644,64,100000,0.995,0,0.9999999999999999,0.0008309184793855365,medium,0.005,128,,COMPLETE
15,15,-1170.2936488,2021-01-12 07:45:45.828123,2021-01-12 08:02:35.092389,0 days 00:16:49.264266,16,10000,0.9999,10000,-4.0,1e-05,big,0.001,512,,PRUNED
16,16,-147.03055460000002,2021-01-12 08:02:35.099292,2021-01-12 08:44:59.375177,0 days 00:42:24.275885,64,100000,0.995,0,0.5904982046488145,0.0006139869752038834,medium,0.005,128,,COMPLETE
17,17,,2021-01-12 08:44:59.395026,2021-01-12 08:51:40.638521,0 days 00:06:41.243495,256,1000000,0.995,0,-3.6849096228108893,0.1146247858959181,small,0.005,64,,PRUNED
18,18,-1158.6453517999998,2021-01-12 08:51:40.645585,2021-01-12 08:58:31.355351,0 days 00:06:50.709766,64,10000,0.995,0,-3.9086870105366995,1.7606373016066474e-05,big,0.02,64,,PRUNED
19,19,-1223.4312934000002,2021-01-12 08:58:31.363915,2021-01-12 09:00:57.675702,0 days 00:02:26.311787,512,1000000,0.9,0,-4.0,0.0010091243246248115,small,0.001,16,,PRUNED
