,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,system_attrs_fail_reason,state
0,0,28.394456400000003,2021-01-01 18:11:50.884988,2021-01-01 18:27:11.440839,0 days 00:15:20.555851,relu,0.08248459783678383,1.0,0.9999,-2.496462097528044,0.06694470299208746,constant,0.3,64,small,True,False,False,0.46703491635284966,,COMPLETE
1,1,19.493993600000003,2021-01-01 18:11:50.895053,2021-01-01 18:25:57.871048,0 days 00:14:06.975995,tanh,4.1132947766769986e-08,0.95,0.95,-1.1422511086494973,0.0011036250547916706,linear,0.6,1024,small,True,False,False,0.49925388262299597,,COMPLETE
2,2,31.7602798,2021-01-01 18:11:50.907717,2021-01-01 18:35:13.906635,0 days 00:23:22.998918,tanh,2.3553259560855523e-08,0.92,0.98,0.13197666540329056,0.00400670562252882,constant,0.5,8,medium,False,False,True,0.9777849072237275,,COMPLETE
3,3,26.162405999999997,2021-01-01 18:11:50.918475,2021-01-01 18:30:33.162306,0 days 00:18:42.243831,relu,0.0023397199421321133,0.8,0.9,-3.9162179413807787,0.005670418511845383,constant,1.0,16,small,False,False,True,0.9216811537546473,,COMPLETE
4,4,28.9367166,2021-01-01 18:25:57.904702,2021-01-01 18:40:51.340946,0 days 00:14:53.436244,relu,3.0216989072554622e-05,0.95,0.98,-0.2364186983487664,1.7760683064566494e-05,linear,2.0,64,medium,False,False,False,0.7066093251204404,,COMPLETE
5,5,31.5328716,2021-01-01 18:27:11.472821,2021-01-01 18:50:18.108722,0 days 00:23:06.635901,relu,0.0014963554803461997,0.98,0.995,-2.7387047010846075,0.15751988348901438,constant,5.0,8,medium,False,True,False,0.8344298480382063,,COMPLETE
6,6,29.6941396,2021-01-01 18:30:33.195035,2021-01-01 18:44:41.036941,0 days 00:14:07.841906,tanh,0.0003068015567569687,1.0,0.995,-3.9634542730703246,0.13359288413799597,constant,0.3,128,medium,False,True,True,0.39466648108643165,,COMPLETE
7,7,27.1309226,2021-01-01 18:35:13.939021,2021-01-01 18:57:17.299175,0 days 00:22:03.360154,relu,1.9271592189594283e-05,0.99,0.9999,-0.20308334964786212,0.012152723147560461,linear,2.0,8,medium,True,False,True,0.5260569913842515,,COMPLETE
8,8,31.250379,2021-01-01 18:40:51.375387,2021-01-01 18:58:18.248684,0 days 00:17:26.873297,relu,0.057682832930645134,0.9,0.999,0.31451808526595126,0.0007510559649972149,linear,2.0,16,medium,True,False,True,0.14483311477673944,,COMPLETE
9,9,25.4267434,2021-01-01 18:44:41.069021,2021-01-01 19:06:48.048098,0 days 00:22:06.979077,relu,8.5101624500415e-07,0.99,0.99,-0.5805378372173822,0.008372283219371853,constant,1.0,8,medium,True,False,True,0.6642208766814114,,COMPLETE
10,10,27.865308200000005,2021-01-01 18:50:18.142994,2021-01-01 19:03:51.380713,0 days 00:13:33.237719,relu,0.00011926322429739333,0.95,0.995,-0.10274890955709548,0.06467338053680763,linear,0.6,2048,medium,False,True,True,0.27632099260249865,,COMPLETE
11,11,-186.057455,2021-01-01 18:57:17.328860,2021-01-01 19:11:36.085564,0 days 00:14:18.756704,tanh,0.0031618540759782068,0.8,0.95,-0.14097707731195452,0.2543760654811527,linear,5.0,128,medium,True,True,True,0.7200940752721068,,COMPLETE
12,12,-29.755445999999996,2021-01-01 18:58:18.283567,2021-01-01 19:03:58.108957,0 days 00:05:39.825390,relu,4.9351463515736144e-05,0.8,0.9,0.9587865681507006,4.769771021313321e-05,constant,0.7,512,medium,True,True,True,0.6728930370198332,,PRUNED
13,13,31.201266800000003,2021-01-01 19:03:51.411733,2021-01-01 19:08:40.159078,0 days 00:04:48.747345,tanh,1.0904463812850342e-08,0.92,0.98,0.9261038170867852,0.00017700469337578087,constant,0.5,32,medium,False,False,True,0.7248907444174455,,PRUNED
14,14,,2021-01-01 19:03:58.121632,2021-01-01 19:10:56.683585,0 days 00:06:58.561953,tanh,2.3933807201213407e-08,0.92,0.98,-2.488016214348768,0.6055861308341942,constant,0.5,8,medium,False,True,False,0.9977814405706981,,PRUNED
15,15,23.5927124,2021-01-01 19:06:48.079630,2021-01-01 19:20:41.432484,0 days 00:13:53.352854,tanh,1.068091109232777e-08,0.92,0.98,-2.6894517983806483,0.4712578226601005,constant,0.5,256,medium,False,True,False,0.9902247095863472,,COMPLETE
16,16,32.6643868,2021-01-01 19:08:40.172153,2021-01-01 19:31:42.569148,0 days 00:23:02.396995,tanh,0.003557227611824633,0.98,0.98,-2.4858906193854278,0.5493362115787236,constant,5.0,8,medium,False,True,False,0.995185335699451,,COMPLETE
