,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,,2021-01-04 21:39:52.839535,,,tanh,0.0008213566955151909,0.98,0.995,-2.408491299072961,0.020240275627939803,linear,0.3,32,medium,False,False,True,0.8014026405629939,RUNNING
1,1,,2021-01-04 21:39:52.844299,,,relu,2.4026738194005717e-07,0.9,0.95,-0.03389769551512023,6.576000989517334e-05,constant,2.0,32,small,False,False,False,0.6491711939216702,RUNNING
2,2,,2021-01-04 21:39:52.861942,,,tanh,0.0194346188839888,0.98,0.9,-1.9745535429949093,0.00015810060666514636,constant,0.8,512,medium,True,False,True,0.20815986492048788,RUNNING
3,3,,2021-01-04 21:39:52.871538,,,relu,0.0854862250469517,0.92,0.9,-2.6102160657357816,0.015150952532368929,linear,0.3,16,medium,True,True,False,0.5319479940463896,RUNNING
4,4,47.1980728,2021-01-04 21:41:23.372344,2021-01-04 21:53:01.497727,0 days 00:11:38.125383,tanh,0.0011518532694492307,0.9,0.95,-2.7745426457696585,0.3695654645677755,constant,0.6,512,small,False,True,False,0.6521785121796657,COMPLETE
5,5,45.0188836,2021-01-04 21:41:23.387730,2021-01-04 21:53:37.544629,0 days 00:12:14.156899,tanh,0.0007577398032546594,1.0,0.9,-0.21545156001991606,1.934621958170107e-05,linear,2.0,64,small,False,False,False,0.7703795924937209,COMPLETE
6,6,43.323584800000006,2021-01-04 21:41:23.400390,2021-01-04 21:58:49.803323,0 days 00:17:26.402933,tanh,1.3012954965295514e-05,0.99,0.9999,-1.4246610063309344,1.1907937407417992e-05,constant,0.8,8,small,True,False,True,0.8674595533262071,COMPLETE
7,7,-845.4613833999999,2021-01-04 21:41:23.420564,2021-01-04 21:53:01.736848,0 days 00:11:38.316284,tanh,6.499690405360343e-07,0.98,0.999,-2.792458239694726,1.4399696883828964e-05,constant,0.3,512,small,True,True,False,0.3720948381066216,COMPLETE
8,8,41.989699,2021-01-04 21:53:01.541993,2021-01-04 22:07:48.479744,0 days 00:14:46.937751,tanh,0.00020308297190922638,0.8,0.95,-2.081077831566282,0.07987981857010745,linear,0.3,16,small,False,False,False,0.9890479236292714,COMPLETE
9,9,41.5786578,2021-01-04 21:53:01.778841,2021-01-04 22:04:54.027802,0 days 00:11:52.248961,tanh,4.559283464633823e-05,0.99,0.995,-3.4118050284978105,0.0007952921223490612,linear,0.6,128,small,False,False,False,0.3892611160733971,COMPLETE
10,10,-855.3786889999999,2021-01-04 21:53:37.580364,2021-01-04 22:05:19.616409,0 days 00:11:42.036045,relu,0.0001483732231321819,0.95,0.9999,-2.953422188331446,5.226953613732885e-05,linear,0.6,1024,medium,False,True,True,0.6328778110779474,COMPLETE
11,11,44.894485,2021-01-04 21:58:49.846341,2021-01-04 22:13:23.312538,0 days 00:14:33.466197,tanh,0.0239603472876796,1.0,0.995,0.05499738523768993,0.0024629135706538668,constant,0.7,16,small,False,True,True,0.5544650092071232,COMPLETE
12,12,-529.8508042,2021-01-04 22:04:54.064912,2021-01-04 22:17:07.173113,0 days 00:12:13.108201,relu,4.388979979232355e-06,0.8,0.99,-1.1271972109090314,1.8739083805362926e-05,constant,1.0,128,medium,True,True,True,0.9455388760935663,COMPLETE
13,13,47.660643199999996,2021-01-04 22:05:19.659375,2021-01-04 22:17:10.769259,0 days 00:11:51.109884,relu,2.7498732131833216e-07,0.9,0.995,-1.5038570187738571,0.021640523654282654,constant,0.8,1024,small,True,False,False,0.0270943346422583,COMPLETE
14,14,43.6423768,2021-01-04 22:07:48.527319,2021-01-04 22:21:18.990219,0 days 00:13:30.462900,tanh,3.985826227763459e-05,0.92,0.9,0.7747382633375404,0.017944925442705116,constant,0.5,32,small,True,True,False,0.6298553770159483,COMPLETE
15,15,46.4604958,2021-01-04 22:13:23.351854,2021-01-04 22:25:42.661135,0 days 00:12:19.309281,relu,0.0024931455339464973,0.95,0.999,0.06442390441602974,0.00031955978374807314,linear,0.3,64,medium,False,False,False,0.9881493549736721,COMPLETE
16,16,43.8003826,2021-01-04 22:17:07.214995,2021-01-04 22:28:57.122521,0 days 00:11:49.907526,relu,0.0010902061699973693,0.9,0.9999,-2.5523153313067315,0.012336814911868796,constant,0.5,64,small,False,False,False,0.026095121993371384,COMPLETE
17,17,41.235063000000004,2021-01-04 22:17:10.808605,2021-01-04 22:28:19.003672,0 days 00:11:08.195067,relu,1.1735682158046173e-08,0.92,0.98,0.9816398247200397,0.012245302670930752,constant,0.9,2048,medium,True,False,False,0.03299322010640544,COMPLETE
18,18,45.56546860000001,2021-01-04 22:21:19.029011,2021-01-04 22:31:55.890242,0 days 00:10:36.861231,relu,1.9281423216690356e-08,0.9,0.98,-2.2087096993936344,0.5405853561987478,constant,0.8,512,small,True,False,False,0.0560222149120807,COMPLETE
19,19,47.497822199999995,2021-01-04 22:25:42.696754,2021-01-04 22:36:06.792454,0 days 00:10:24.095700,relu,1.3466725905935591e-08,0.9,0.95,-1.9150173412653904,0.9792273807011035,constant,5.0,1024,small,True,True,False,0.08000178919702167,COMPLETE
20,20,45.53279,2021-01-04 22:28:19.053125,2021-01-04 22:38:45.326600,0 days 00:10:26.273475,relu,3.029942342743739e-08,0.9,0.95,-2.087460339672042,0.5305087611520306,constant,0.8,512,small,True,True,False,0.025545962684306887,COMPLETE
21,21,-4242.6152704,2021-01-04 22:28:57.157836,2021-01-04 22:32:05.081766,0 days 00:03:07.923930,relu,3.0900342502043166e-08,0.9,0.95,-1.941936862540631,0.6417378512505941,constant,0.8,512,small,True,True,False,0.15362089203465087,PRUNED
22,22,45.435087800000005,2021-01-04 22:31:55.927341,2021-01-04 22:42:22.490174,0 days 00:10:26.562833,relu,1.345050127251469e-07,0.9,0.95,-3.9489948359598226,0.782307694395705,constant,5.0,1024,small,True,True,False,0.23274121490820132,COMPLETE
