,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
0,0,717.6313845999999,2020-12-18 18:49:07.127955,2020-12-18 23:46:35.044096,0 days 04:57:27.916141,tanh,8,0.2,1.7209587954342844e-06,0.9,0.99,-2.0706671313818577,8.390702377642814e-05,0.6,20,8,medium,128,0.28872161051714196,,COMPLETE
1,1,,2020-12-18 18:49:07.136773,2020-12-18 19:08:27.440011,0 days 00:19:20.303238,relu,64,0.4,0.026424387335207043,1.0,0.999,-2.744319951962964,0.3164205962149359,0.5,5,64,medium,256,0.2848040032965202,"Trial 1 failed, because the objective function returned nan.",FAIL
2,2,848.7463024000001,2020-12-18 18:49:07.158711,2020-12-18 19:01:03.968720,0 days 00:11:56.810009,relu,32,0.1,1.7056579961819496e-07,0.95,0.9999,-2.4200737962838588,0.0002998947188443391,0.9,1,64,small,64,0.9237268048901411,,COMPLETE
3,3,818.8304122000001,2020-12-18 18:49:07.173999,2020-12-18 19:37:32.273445,0 days 00:48:25.099446,relu,16,0.2,1.1088274863260275e-06,0.95,0.9999,-1.7618411106070377,3.966183453980646e-05,0.5,5,512,medium,256,0.9376377760972593,,COMPLETE
4,4,853.9448966,2020-12-18 19:01:04.022796,2020-12-18 19:09:14.091857,0 days 00:08:10.069061,tanh,256,0.2,0.012128360523722894,0.95,0.995,-2.3890709460789523,0.0001438548708109726,0.6,1,2048,medium,-1,0.7924728723800786,,COMPLETE
5,5,720.5625956,2020-12-18 19:08:27.451524,2020-12-18 19:54:34.654261,0 days 00:46:07.202737,tanh,32,0.3,1.0317173284283382e-06,0.8,0.9999,0.8267252209032652,0.0002619027839152955,0.5,10,2048,medium,-1,0.3933582823163223,,COMPLETE
6,6,,2020-12-18 19:09:14.118740,2020-12-18 20:36:27.081611,0 days 01:27:12.962871,relu,32,0.3,0.047822232604096994,0.95,0.999,-1.9010164583571445,0.03934633371486984,0.8,20,64,medium,256,0.43201214014894573,"Trial 6 failed, because the objective function returned nan.",FAIL
7,7,899.1090428,2020-12-18 19:37:32.298340,2020-12-18 20:03:59.399701,0 days 00:26:27.101361,tanh,64,0.3,9.984230159351855e-08,0.92,0.99,-1.1114862901228348,2.7444499678841042e-05,0.9,10,512,small,-1,0.15832479855992732,,COMPLETE
8,8,669.935468,2020-12-18 19:54:34.693146,2020-12-18 20:09:50.306777,0 days 00:15:15.613631,tanh,16,0.2,0.00020397876756245075,0.9,0.95,0.34720300574737895,0.0017914026286688389,0.6,1,512,medium,32,0.7814784981512124,,COMPLETE
9,9,,2020-12-18 20:03:59.458347,2020-12-18 21:42:47.242743,0 days 01:38:47.784396,relu,8,0.4,0.0010225737027609947,0.98,0.995,-0.886089148977343,0.39853575997517554,0.8,10,8,medium,16,0.893370027991583,,PRUNED
