,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
0,0,47.74610679999999,2021-01-04 21:41:27.225315,2021-01-04 22:56:42.994373,0 days 01:15:15.769058,relu,8,0.3,2.565512661389967e-07,0.8,0.9,-2.3233854457055285,0.21393710887683035,0.6,5,2048,small,16,0.37691525301996853,,COMPLETE
1,1,40.95838439999999,2021-01-04 21:41:27.238084,2021-01-04 21:54:21.358932,0 days 00:12:54.120848,tanh,256,0.2,1.5105326208671148e-05,0.99,0.995,-3.3606205077881603,0.0018511240025187114,0.8,1,32,medium,-1,0.4762598987315768,,COMPLETE
2,2,51.7196398,2021-01-04 21:41:27.251685,2021-01-05 02:00:13.788714,0 days 04:18:46.537029,relu,8,0.1,7.415172106572325e-08,0.9,0.9999,0.6942753283509697,3.8574631637648496e-05,0.8,20,8,small,256,0.9359000663706717,,COMPLETE
3,3,43.8028234,2021-01-04 21:41:27.261649,2021-01-04 21:51:10.498928,0 days 00:09:43.237279,relu,256,0.3,3.841998650943614e-06,0.8,0.999,-0.828886134361575,0.04602303367823604,0.5,1,128,small,256,0.42019682887671184,,COMPLETE
4,4,43.308579200000004,2021-01-04 21:51:10.531544,2021-01-04 23:05:53.032529,0 days 01:14:42.500985,tanh,128,0.1,0.003343982946723037,0.98,0.98,0.1240859012468487,0.0022405408287633137,0.8,10,16,medium,128,0.9191980532931904,,COMPLETE
5,5,,2021-01-04 21:54:21.389471,2021-01-04 22:35:57.799471,0 days 00:41:36.410000,tanh,32,0.3,1.94071005981117e-07,0.99,0.9,-1.4032357500217465,0.11085829400014302,0.3,10,32,small,-1,0.9923216783173463,"Trial 5 failed, because the objective function returned nan.",FAIL
6,6,50.5332298,2021-01-04 22:35:57.811195,2021-01-04 22:44:38.278790,0 days 00:08:40.467595,relu,256,0.1,0.00046808160802050836,0.8,0.995,-3.5747843782225046,0.0031609265742469114,1.0,5,2048,medium,128,0.9840682240648737,,COMPLETE
7,7,47.1366994,2021-01-04 22:44:38.307265,2021-01-04 23:22:45.929031,0 days 00:38:07.621766,tanh,32,0.4,0.0011477743154392117,0.98,0.995,-3.035962137784921,0.004501721681278769,0.8,10,1024,small,32,0.7109262922042824,,COMPLETE
8,8,45.27156240000001,2021-01-04 22:56:43.022999,2021-01-04 23:10:40.016659,0 days 00:13:56.993660,relu,256,0.3,0.024723805788709155,0.95,0.9999,-3.482021089785043,1.3549185948099161e-05,0.3,20,256,small,32,0.05656492547036385,,COMPLETE
9,9,44.5159828,2021-01-04 23:05:53.069490,2021-01-05 03:18:49.558233,0 days 04:12:56.488743,relu,128,0.1,2.2120211595783682e-05,1.0,0.995,0.1446706787679295,0.0006758341624606661,0.6,20,8,small,128,0.6272393594502788,,COMPLETE
