,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
0,0,454.51475199999993,2020-12-18 05:55:57.560955,2020-12-18 06:20:02.574634,0 days 00:24:05.013679,128,10000,0.999,1000,-2.426848215316056,0.00035424531250239494,small,0.001,256,,COMPLETE
1,1,,2020-12-18 06:20:02.595215,2020-12-18 06:44:54.429823,0 days 00:24:51.834608,64,1000000,0.98,0,-2.8906915116074217,0.050387088524480914,medium,0.02,16,"Trial 1 failed, because the objective function returned nan.",FAIL
2,2,321.861258,2020-12-18 06:44:54.439429,2020-12-18 07:09:27.795372,0 days 00:24:33.355943,128,1000000,0.995,1000,0.47616924274367367,0.0018708346523780889,big,0.02,64,,COMPLETE
3,3,192.16021,2020-12-18 07:09:27.824248,2020-12-18 07:30:32.355589,0 days 00:21:04.531341,32,10000,0.995,10000,-0.003606731546109021,0.0006642627694523572,medium,0.001,16,,COMPLETE
4,4,456.572365,2020-12-18 07:30:32.452938,2020-12-18 07:53:52.271322,0 days 00:23:19.818384,16,10000,0.99,0,-1.0620755145343845,0.003991028432485914,medium,0.005,8,,COMPLETE
5,5,455.36352999999997,2020-12-18 07:53:52.289904,2020-12-18 08:14:51.552096,0 days 00:20:59.262192,64,1000000,0.95,10000,-0.858097837168835,0.001559371173769466,small,0.02,8,,COMPLETE
6,6,-2.946041,2020-12-18 08:14:51.570916,2020-12-18 08:34:07.893740,0 days 00:19:16.322824,64,1000000,0.99,20000,-2.1269171298126226,0.007480210698126121,big,0.001,256,,COMPLETE
7,7,321.861258,2020-12-18 08:34:07.913482,2020-12-18 08:55:45.609749,0 days 00:21:37.696267,128,100000,0.9,10000,0.5128206984434822,0.011553120542950147,medium,0.02,64,,COMPLETE
8,8,,2020-12-18 08:55:45.628439,2020-12-18 09:14:30.993538,0 days 00:18:45.365099,32,1000000,0.9999,20000,0.46844607789738735,0.013789583531446404,small,0.005,8,"Trial 8 failed, because the objective function returned nan.",FAIL
9,9,,2020-12-18 09:14:31.001765,2020-12-18 09:37:49.587266,0 days 00:23:18.585501,16,1000000,0.99,0,-0.3412478082764685,0.08879353761990647,small,0.01,8,"Trial 9 failed, because the objective function returned nan.",FAIL
10,10,,2020-12-18 09:37:49.594677,2020-12-18 09:58:53.166606,0 days 00:21:03.571929,16,10000,0.9,10000,-3.874742009287652,0.0516928694788861,big,0.01,64,"Trial 10 failed, because the objective function returned nan.",FAIL
11,11,455.705105,2020-12-18 09:58:53.176225,2020-12-18 10:22:51.863963,0 days 00:23:58.687738,64,1000000,0.95,0,-0.07359440656801519,0.00039163683722478657,big,0.02,8,,COMPLETE
12,12,458.158591,2020-12-18 10:22:51.882423,2020-12-18 10:43:12.578255,0 days 00:20:20.695832,128,100000,0.9,10000,-1.047779176295501,1.4862532448141776e-05,small,0.02,256,,COMPLETE
13,13,321.861258,2020-12-18 10:43:12.597512,2020-12-18 11:03:23.701773,0 days 00:20:11.104261,128,100000,0.98,0,-2.488384229186643,0.23583869974835922,medium,0.005,256,,COMPLETE
14,14,452.093365,2020-12-18 11:03:23.790956,2020-12-18 11:22:19.117939,0 days 00:18:55.326983,128,10000,0.95,1000,-0.5801089890075404,0.00024305704561358046,small,0.005,16,,COMPLETE
15,15,-2.946041,2020-12-18 11:22:19.134884,2020-12-18 11:24:19.873162,0 days 00:02:00.738278,32,10000,0.999,20000,0.8102214222908373,0.0020889051724259067,big,0.001,8,,PRUNED
16,16,-2.946041,2020-12-18 11:24:19.882384,2020-12-18 11:28:17.800624,0 days 00:03:57.918240,256,1000000,0.99,10000,-3.816981349018363,0.029473528050773627,big,0.001,16,,PRUNED
17,17,375.82861,2020-12-18 11:28:17.807977,2020-12-18 11:44:27.276157,0 days 00:16:09.468180,128,100000,0.999,20000,-1.5606620231277146,2.691474725214309e-05,big,0.01,256,,COMPLETE
18,18,321.861258,2020-12-18 11:44:27.295398,2020-12-18 11:50:28.364654,0 days 00:06:01.069256,128,100000,0.999,0,-1.2659372577398877,0.07208796636346125,big,0.005,8,,PRUNED
19,19,321.861258,2020-12-18 11:50:28.371512,2020-12-18 11:54:24.128593,0 days 00:03:55.757081,32,10000,0.95,10000,-1.7814530884968902,0.15573773053531378,medium,0.005,32,,PRUNED
20,20,927.4350269999999,2020-12-18 19:10:56.626596,2020-12-18 20:00:21.436036,0 days 00:49:24.809440,512,1000000,0.95,0,-2.262133453371174,0.00037427135555632984,small,0.02,128,,COMPLETE
21,21,,2020-12-18 20:00:21.457179,2020-12-18 20:14:57.133527,0 days 00:14:35.676348,256,10000,0.999,1000,-1.9696970513291028,0.043994074789329145,small,0.02,512,,PRUNED
22,22,927.4350269999999,2020-12-18 20:14:57.140358,2020-12-18 21:02:22.192994,0 days 00:47:25.052636,512,10000,0.995,1000,-0.26071840229924703,0.007058791191481219,big,0.005,8,,COMPLETE
23,23,-29.460415,2020-12-18 21:02:22.216398,2020-12-18 21:16:22.409277,0 days 00:14:00.192879,256,100000,0.999,0,0.4139844645945274,0.010761451530571946,medium,0.005,256,,PRUNED
24,24,1171.815685,2020-12-18 21:16:22.417328,2020-12-18 21:58:37.858951,0 days 00:42:15.441623,128,100000,0.98,20000,0.014150503508250978,0.004906445100659809,small,0.02,16,,COMPLETE
25,25,1185.182312,2020-12-18 21:58:37.940816,2020-12-18 22:45:45.627643,0 days 00:47:07.686827,16,100000,0.98,0,-2.3881941248609406,8.365669461630724e-05,medium,0.001,512,,COMPLETE
26,26,-576.121286,2020-12-18 22:45:45.647517,2020-12-18 23:32:31.033499,0 days 00:46:45.385982,256,100000,0.99,0,-3.69728294624442,0.0012430188799368504,small,0.001,64,,COMPLETE
27,27,1179.341074,2020-12-18 23:32:31.067210,2020-12-19 00:18:02.371745,0 days 00:45:31.304535,64,1000000,0.9999,0,0.11045462459418953,4.8045369168847454e-05,big,0.005,512,,COMPLETE
28,28,1156.592095,2020-12-19 00:18:02.391106,2020-12-19 00:54:48.571106,0 days 00:36:46.180000,16,1000000,0.95,10000,-1.989931569980679,0.0009702879681256517,small,0.001,32,,COMPLETE
29,29,-483.91926299999994,2020-12-19 00:54:48.602889,2020-12-19 01:33:25.830446,0 days 00:38:37.227557,64,1000000,0.98,10000,0.6889197364816733,0.00034166645351225517,big,0.005,16,,COMPLETE
