,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,36.362991,2020-12-31 03:57:40.658407,2020-12-31 04:39:21.689801,0 days 00:41:41.031394,100,10000,True,0.9,0.00012847877854678792,small,0.42952570723986316,,,COMPLETE
1,1,36.362991,2020-12-31 04:39:21.709695,2020-12-31 05:21:27.967291,0 days 00:42:06.257596,256,1000000,True,0.995,0.0005228023629623147,medium,0.9142044658591084,normal,,COMPLETE
2,2,36.362991,2020-12-31 05:21:27.995196,2020-12-31 05:58:06.755780,0 days 00:36:38.760584,100,100000,True,0.995,0.006617526776020258,small,0.5226578407823496,,,COMPLETE
3,3,36.362991,2020-12-31 05:58:06.790718,2020-12-31 06:34:13.525780,0 days 00:36:06.735062,16,1000000,False,0.99,2.4992271272533473e-05,medium,0.4693717159790908,,256.0,COMPLETE
4,4,36.362991,2020-12-31 06:34:13.546001,2020-12-31 07:09:05.351868,0 days 00:34:51.805867,256,10000,True,0.99,0.013911744810072981,small,0.8060862137293249,,,COMPLETE
5,5,36.362991,2020-12-31 07:09:05.371112,2020-12-31 07:47:46.155541,0 days 00:38:40.784429,64,10000,True,0.99,0.01954330765533492,big,0.044890449736837645,normal,,COMPLETE
6,6,36.362991,2020-12-31 07:47:46.179184,2020-12-31 08:26:13.594082,0 days 00:38:27.414898,32,1000000,True,0.98,0.16283563594099865,small,0.740716002049634,,,COMPLETE
7,7,36.362991,2020-12-31 08:26:13.613028,2020-12-31 09:05:51.081367,0 days 00:39:37.468339,100,1000000,True,0.95,0.24383290780495212,big,0.38290957141751303,ornstein-uhlenbeck,,COMPLETE
8,8,36.362991,2020-12-31 09:05:51.115703,2020-12-31 09:55:36.521943,0 days 00:49:45.406240,16,1000000,False,0.95,0.00037295850603211546,small,0.7985762640904389,ornstein-uhlenbeck,1.0,COMPLETE
9,9,36.362991,2020-12-31 09:55:36.542927,2020-12-31 10:34:56.473521,0 days 00:39:19.930594,100,10000,False,0.9999,0.0022511516568555334,medium,0.3876335799237569,,256.0,COMPLETE
10,10,36.362991,2020-12-31 10:34:56.494694,2020-12-31 11:13:47.491873,0 days 00:38:50.997179,128,100000,True,0.95,0.22194730999410994,small,0.10342100761594719,,,COMPLETE
11,11,36.362991,2020-12-31 11:13:47.509654,2020-12-31 12:06:26.659006,0 days 00:52:39.149352,100,100000,False,0.9,1.9559536792701967e-05,medium,0.39965854384435595,,1.0,COMPLETE
12,12,36.362991,2020-12-31 12:06:26.686029,2020-12-31 12:57:53.008948,0 days 00:51:26.322919,16,100000,False,0.999,0.0001000844203022753,medium,0.8984395804278055,ornstein-uhlenbeck,1.0,COMPLETE
13,13,36.362991,2020-12-31 12:57:53.024937,2020-12-31 13:36:41.201824,0 days 00:38:48.176887,100,10000,True,0.98,0.06263607468981064,small,0.7407588799169764,normal,,COMPLETE
14,14,36.362991,2020-12-31 13:36:41.222776,2020-12-31 14:16:27.533074,0 days 00:39:46.310298,512,1000000,False,0.995,0.8381716282129205,small,0.7056668839387592,normal,256.0,COMPLETE
15,15,36.362991,2020-12-31 14:16:27.554425,2020-12-31 17:50:35.476276,0 days 03:34:07.921851,100,10000,False,0.999,0.0013300181034080723,small,0.5636613926768531,ornstein-uhlenbeck,16.0,COMPLETE
16,16,49.744694,2020-12-31 17:50:35.494119,2020-12-31 18:29:10.513774,0 days 00:38:35.019655,128,100000,True,0.999,4.557512319994468e-05,small,0.6125640994195009,ornstein-uhlenbeck,,COMPLETE
17,17,36.367202,2020-12-31 18:29:10.532939,2020-12-31 19:08:19.514228,0 days 00:39:08.981289,512,10000,False,0.9999,3.572673227161399e-05,medium,0.8938413981076347,normal,2000.0,COMPLETE
18,18,36.362991,2020-12-31 19:08:19.532826,2020-12-31 19:48:35.232899,0 days 00:40:15.700073,512,10000,False,0.98,1.1302074200934752e-05,big,0.8175935649725846,,2000.0,COMPLETE
19,19,36.362991,2020-12-31 19:48:35.253664,2020-12-31 20:27:10.156668,0 days 00:38:34.903004,16,100000,False,0.999,0.0031252602143410136,small,0.399412217844504,,128.0,COMPLETE
