#{"t_start": 1605916160.06421, "env_id": "fishing-v1"}
r,l,t
0.75,1,2.669062
0.75,1,2.670948
0.75,1,2.672717
0.75,1,2.674407
0.75,1,2.676064
0.75,1,2.67795
0.75,1,2.679761
0.75,1,2.681765
0.75,1,2.683588
0.75,1,2.685667
0.75,1,2.68777
0.75,1,2.689756
0.75,1,2.691556
0.75,1,2.693388
0.75,1,2.695171
0.75,1,2.69683
0.75,1,2.699032
0.75,1,2.701081
0.75,1,2.702929
0.75,1,2.704791
0.75,1,2.706857
0.75,1,2.709042
0.75,1,2.711073
0.75,1,2.712976
0.75,1,2.71504
0.75,1,2.717066
0.75,1,2.718902
0.75,1,2.721262
0.75,1,2.723301
0.75,1,2.725318
0.75,1,2.727465
0.75,1,2.729361
0.75,1,2.731033
0.75,1,2.732528
0.75,1,2.733927
0.75,1,2.73578
0.75,1,2.737936
0.75,1,2.740428
0.75,1,2.742216
0.75,1,2.744164
0.75,1,2.746239
0.75,1,2.74851
0.75,1,2.750427
0.75,1,2.752545
0.75,1,2.75452
0.75,1,2.756532
0.75,1,2.758827
0.75,1,2.760842
0.75,1,2.762739
0.75,1,2.764826
0.75,1,2.766894
0.75,1,2.769356
0.75,1,2.77179
0.75,1,2.773975
0.75,1,2.776265
0.75,1,2.778307
0.75,1,2.78023
0.75,1,2.782337
0.75,1,2.784248
0.75,1,2.786021
0.75,1,2.788081
0.75,1,2.790176
0.75,1,2.791709
0.75,1,2.793086
0.75,1,2.795323
0.75,1,2.797327
0.75,1,2.79948
0.75,1,2.801551
0.75,1,2.803643
0.75,1,2.805598
0.75,1,2.8082
0.75,1,2.81047
0.75,1,2.812568
0.75,1,2.814807
0.75,1,2.816975
0.75,1,2.819731
0.75,1,2.821657
0.75,1,2.823775
0.75,1,2.825613
0.75,1,2.827666
0.75,1,2.829646
0.75,1,2.831934
0.75,1,2.834161
0.75,1,2.836198
0.75,1,2.838469
0.75,1,2.840346
0.75,1,2.842583
0.75,1,2.844857
0.75,1,2.846909
0.75,1,2.849117
0.75,1,2.851165
0.75,1,2.853846
0.75,1,2.855797
0.75,1,2.857327
0.75,1,2.858892
0.75,1,2.861122
0.75,1,2.863302
0.75,1,2.865103
0.75,1,2.866949
0.75,1,2.86906
0.75,1,2.871362
0.75,1,2.873422
0.75,1,2.875494
0.75,1,2.877186
0.75,1,2.87889
0.75,1,2.880915
0.75,1,2.883402
0.75,1,2.885922
0.75,1,2.887976
0.75,1,2.889864
0.75,1,2.891994
0.75,1,2.894446
0.75,1,2.896585
0.75,1,2.899004
0.75,1,2.901001
0.75,1,2.903141
0.75,1,2.904869
0.75,1,2.906828
0.75,1,2.908957
0.75,1,2.911125
0.75,1,2.913128
0.75,1,2.915028
0.75,1,2.916904
0.75,1,2.919136
0.75,1,2.921161
0.75,1,2.923738
0.75,1,2.926074
0.75,1,2.928043
0.75,1,2.929955
0.75,1,2.932021
0.75,1,2.934091
0.75,1,2.936116
0.75,1,2.938227
0.75,1,2.939907
0.75,1,2.941796
0.75,1,2.94352
0.75,1,2.94565
0.75,1,2.948067
0.75,1,2.950238
0.75,1,2.952199
0.75,1,2.954332
0.75,1,2.956248
0.75,1,2.958877
0.75,1,2.961393
0.75,1,2.963115
0.75,1,2.965558
0.75,1,2.96771
0.75,1,2.970072
0.75,1,2.972109
0.75,1,2.974289
0.75,1,2.97593
0.75,1,2.977591
0.75,1,2.979813
0.75,1,2.982229
0.75,1,2.984297
0.75,1,2.986299
0.75,1,2.98847
0.75,1,2.991042
0.75,1,2.993203
0.75,1,2.994838
0.75,1,2.996693
0.75,1,2.998697
0.75,1,3.001139
0.75,1,3.003536
0.75,1,3.005705
0.75,1,3.007657
0.75,1,3.009721
0.75,1,3.011923
0.75,1,3.013813
0.75,1,3.016179
0.75,1,3.018359
0.75,1,3.020073
0.75,1,3.022051
0.75,1,3.024219
0.75,1,3.026512
0.75,1,3.028548
0.75,1,3.031013
0.75,1,3.0334
0.75,1,3.035827
0.75,1,3.038042
0.75,1,3.039859
0.75,1,3.056121
0.75,1,3.058033
0.75,1,3.059873
0.75,1,3.061561
0.75,1,3.063211
0.75,1,3.065149
0.75,1,3.067071
0.75,1,3.069068
0.75,1,3.070678
0.75,1,3.072709
0.75,1,3.074492
0.75,1,3.076366
0.75,1,3.07839
0.75,1,3.080509
0.75,1,3.082385
0.75,1,3.084548
0.75,1,3.086436
0.75,1,3.088734
0.75,1,3.090371
0.75,1,3.092066
0.75,1,3.0938
0.75,1,3.095844
0.75,1,3.097712
0.75,1,3.099525
0.75,1,3.101397
0.75,1,3.10358
0.75,1,3.105693
0.75,1,3.107393
0.75,1,3.108957
0.75,1,3.110542
0.75,1,3.111824
0.75,1,3.113778
0.75,1,3.115489
0.75,1,3.117291
0.75,1,3.119212
0.75,1,3.121006
0.75,1,3.122924
0.75,1,3.124921
0.75,1,3.12699
0.75,1,3.128961
0.75,1,3.130905
0.75,1,3.132954
0.75,1,3.135245
0.75,1,3.136896
0.75,1,3.138742
0.75,1,3.140718
0.75,1,3.142792
0.75,1,3.145288
0.75,1,3.147338
0.75,1,3.149278
0.75,1,3.1513
0.75,1,3.153156
0.75,1,3.155151
0.75,1,3.157032
0.75,1,3.158877
0.75,1,3.160957
0.75,1,3.16308
0.75,1,3.165426
0.75,1,3.167554
0.75,1,3.169329
0.75,1,3.171656
0.75,1,3.17417
0.75,1,3.176098
0.75,1,3.17823
0.75,1,3.180126
0.75,1,3.18221
0.75,1,3.184508
0.75,1,3.18669
0.75,1,3.188747
0.75,1,3.190729
