#{"t_start": 1607536640.6441472, "env_id": "fishing-v1"}
r,l,t
0.75,1,0.036092
0.75,1,0.037147
0.75,1,0.038049
0.75,1,0.038957
0.75,1,0.039944
0.75,1,0.042151
0.75,1,0.043103
0.75,1,0.043998
0.75,1,0.04485
0.75,1,0.045698
0.75,1,0.046621
0.75,1,0.047563
0.75,1,0.048451
0.75,1,0.049297
0.75,1,0.050147
0.75,1,0.050993
0.75,1,0.051865
0.75,1,0.052724
0.75,1,0.053572
0.75,1,0.05441
0.75,1,0.055288
0.75,1,0.056142
0.75,1,0.056987
0.75,1,0.057827
0.75,1,0.058672
0.75,1,0.059639
0.75,1,0.060493
0.75,1,0.061333
0.75,1,0.062172
0.75,1,0.063015
0.75,1,0.063999
0.75,1,0.064844
0.75,1,0.065863
0.75,1,0.0667
0.75,1,0.067555
0.75,1,0.068398
0.75,1,0.069244
0.75,1,0.070081
0.75,1,0.071038
0.75,1,0.07191
0.75,1,0.072758
0.75,1,0.073659
0.75,1,0.074502
0.75,1,0.075351
0.75,1,0.076213
0.75,1,0.077115
0.75,1,0.077956
0.75,1,0.078807
0.75,1,0.079659
0.75,1,0.080498
0.75,1,0.081345
0.75,1,0.082324
0.75,1,0.08316
0.75,1,0.084016
0.75,1,0.08491
0.75,1,0.085746
0.75,1,0.086583
0.75,1,0.087472
0.75,1,0.08832
0.75,1,0.089166
0.75,1,0.09001
0.75,1,0.090849
0.75,1,0.091783
0.75,1,0.092636
0.75,1,0.093475
0.75,1,0.094318
0.75,1,0.095152
0.75,1,0.095996
0.75,1,0.096834
0.75,1,0.09767
0.75,1,0.098505
0.75,1,0.099341
0.75,1,0.100215
0.75,1,0.101068
0.75,1,0.101908
0.75,1,0.10275
0.75,1,0.103595
0.75,1,0.104434
0.75,1,0.105253
0.75,1,0.106085
0.75,1,0.106927
0.75,1,0.107782
0.75,1,0.108619
0.75,1,0.109456
0.75,1,0.110299
0.75,1,0.111136
0.75,1,0.111984
0.75,1,0.112826
0.75,1,0.113668
0.75,1,0.114529
0.75,1,0.115369
0.75,1,0.11622
0.75,1,0.117063
0.75,1,0.117907
0.75,1,0.118744
0.75,1,0.119612
0.75,1,0.120466
0.75,1,0.121315
0.75,1,0.122156
0.75,1,0.122997
0.75,1,0.123848
0.75,1,0.124697
0.75,1,0.125534
0.75,1,0.126371
0.75,1,0.127211
0.75,1,0.128079
0.75,1,0.128923
0.75,1,0.129768
0.75,1,0.130607
0.75,1,0.131458
0.75,1,0.132394
0.75,1,0.133235
0.75,1,0.134084
0.75,1,0.134925
0.75,1,0.135787
0.75,1,0.136624
0.75,1,0.137468
