,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
0,0,0.75,2020-12-03 05:02:29.186865,2020-12-03 05:22:03.912741,0 days 00:19:34.725876,tanh,8,0.2,6.22293334047926e-07,0.8,0.995,-0.23509288753070745,0.0054219493385647514,0.6,1,256,small,64,0.6577564528536259,COMPLETE
1,1,0.75,2020-12-03 05:02:29.200158,2020-12-03 05:24:04.393362,0 days 00:21:35.193204,relu,32,0.2,5.231518368967977e-07,0.8,0.995,-3.5696862501552635,2.1787101518458377e-05,0.8,5,128,small,-1,0.4102550991676862,COMPLETE
2,2,0.75,2020-12-03 05:02:29.222304,2020-12-03 05:21:47.317731,0 days 00:19:18.095427,relu,8,0.2,0.006490379584092435,0.8,0.98,-2.3213525704259492,1.674605705307218e-05,0.9,1,256,small,32,0.09077852867497682,COMPLETE
3,3,0.75,2020-12-03 05:02:29.234618,2020-12-03 06:09:48.975805,0 days 01:07:19.741187,tanh,8,0.3,1.1387533591596915e-07,0.99,0.95,-2.872471973527217,0.0011581869147136092,0.5,5,8,medium,8,0.5402986353943967,COMPLETE
4,4,0.75,2020-12-03 05:21:47.367709,2020-12-03 05:57:35.776459,0 days 00:35:48.408750,tanh,16,0.2,0.048116884720778345,0.99,0.995,-2.9013915151321337,0.00014273311562807057,0.6,5,512,medium,32,0.7891967236686842,COMPLETE
5,5,0.75,2020-12-03 05:22:03.965900,2020-12-03 06:29:36.587219,0 days 01:07:32.621319,relu,16,0.4,6.458727892374228e-07,0.98,0.999,-0.8998516589082031,0.0002961157750576459,0.8,10,128,small,128,0.21861072639992374,COMPLETE
6,6,0.75,2020-12-03 05:24:04.427811,2020-12-03 07:29:23.738774,0 days 02:05:19.310963,relu,8,0.2,1.3251453751845477e-05,0.8,0.95,-2.513068181004682,1.6697830998320126e-05,0.5,10,32,medium,-1,0.3501349853989374,COMPLETE
7,7,0.75,2020-12-03 05:57:35.807652,2020-12-03 06:06:47.808803,0 days 00:09:12.001151,relu,128,0.1,0.0009575964256174856,0.99,0.98,-0.6438075974607287,0.0001608978685784143,0.9,5,128,small,64,0.5722164019881799,COMPLETE
8,8,0.75,2020-12-03 06:06:47.846518,2020-12-03 06:13:08.908333,0 days 00:06:21.061815,relu,256,0.1,0.0003164079096723995,1.0,0.99,-2.8570372425116672,2.573491966646842e-05,2.0,1,128,small,32,0.5003063660694106,COMPLETE
9,9,0.75,2020-12-03 06:09:49.011187,2020-12-03 06:44:13.994964,0 days 00:34:24.983777,relu,16,0.1,1.0751409558723442e-08,1.0,0.9999,-1.3129208474851848,1.0781077469702274e-05,0.6,5,128,small,128,0.4954249220961384,COMPLETE
