,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
0,0,,2020-11-20 00:12:42.941462,2020-11-20 00:12:43.147891,0 days 00:00:00.206429,tanh,256.0,0.3,0.00630426166075101,0.95,0.99,0.7255532520815837,7.603707457361553e-05,0.8,1.0,128.0,small,256.0,0.2425832168111498,"Trial 0 failed because of the following error: TypeError(""__init__() missing 1 required positional argument: 'policy'"")",FAIL
1,1,,2020-11-20 00:12:42.943176,2020-11-20 00:12:43.116960,0 days 00:00:00.173784,tanh,128.0,0.3,0.0004330485440433295,1.0,0.9999,-0.9816529456865268,0.15462970634894618,0.6,5.0,256.0,medium,128.0,0.6350413990385884,"Trial 1 failed because of the following error: TypeError(""__init__() missing 1 required positional argument: 'policy'"")",FAIL
2,2,,2020-11-20 00:12:42.947253,,,,,,,,,,,,,,,,,,RUNNING
3,3,,2020-11-20 00:12:42.945946,,,,,,,,,,,,,,,,,,RUNNING
4,4,,2020-11-20 00:12:43.150980,,,,,,,,,,,,,,,,,,RUNNING
5,5,0.0,2020-11-20 00:12:58.621685,2020-11-20 00:48:04.434980,0 days 00:35:05.813295,tanh,64.0,0.2,2.701712624671927e-05,0.8,0.995,-0.6791216048626683,0.2117437522463922,0.8,20.0,512.0,medium,8.0,0.31232098347104,,COMPLETE
6,6,0.75,2020-11-20 00:12:58.664850,2020-11-20 00:45:20.063155,0 days 00:32:21.398305,tanh,64.0,0.3,0.0003649739374332211,0.98,0.9,-3.696818440269368,2.3307321528808968e-05,0.5,20.0,256.0,small,64.0,0.24959880862528971,,COMPLETE
7,7,0.75,2020-11-20 00:12:58.683977,2020-11-20 03:51:06.319888,0 days 03:38:07.635911,relu,8.0,0.3,0.00020820882895901887,0.98,0.98,-3.5742634279692265,0.014875398653010168,0.5,20.0,8.0,small,8.0,0.5087615179208279,,COMPLETE
8,8,0.75,2020-11-20 00:12:58.683337,2020-11-20 00:48:53.853390,0 days 00:35:55.170053,tanh,16.0,0.1,2.6276005997564814e-05,0.98,0.95,0.07148945829753739,0.027764813050362654,0.5,5.0,1024.0,medium,32.0,0.39960756226032623,,COMPLETE
9,9,1.8220504522323608,2020-11-20 00:45:20.098336,2020-11-20 02:44:09.538679,0 days 01:58:49.440343,tanh,512.0,0.4,0.07053292497600491,0.92,0.9999,-1.959128522564412,1.1178465708158418e-05,1.0,10.0,8.0,medium,8.0,0.12200972749441963,,COMPLETE
10,10,0.75,2020-11-20 00:48:04.466061,2020-11-20 01:22:49.053164,0 days 00:34:44.587103,relu,32.0,0.3,0.017088601085905594,0.95,0.995,-3.2290536861602317,0.0023975788675635323,5.0,10.0,2048.0,small,-1.0,0.5037938614229825,,COMPLETE
11,11,0.75,2020-11-20 00:48:53.891251,2020-11-20 00:56:42.062506,0 days 00:07:48.171255,tanh,512.0,0.3,0.0005277252728516413,0.99,0.98,-1.455867515676338,0.09524883714019997,0.8,1.0,32.0,small,64.0,0.013101837670569272,,COMPLETE
12,12,0.75,2020-11-20 00:56:42.091223,2020-11-20 01:04:25.305571,0 days 00:07:43.214348,relu,32.0,0.1,2.9124008178776805e-08,0.8,0.9999,-0.31356761362112984,0.019137695860121776,2.0,1.0,2048.0,small,128.0,0.5925497169434658,,COMPLETE
13,13,0.75,2020-11-20 01:04:25.350120,2020-11-20 01:10:06.411000,0 days 00:05:41.060880,relu,128.0,0.4,0.0018834465922108914,0.95,0.95,-3.720542096011436,0.00015309850018830834,0.9,1.0,1024.0,small,64.0,0.04833637146941294,,COMPLETE
14,14,1.1654366254806519,2020-11-20 01:10:06.443988,2020-11-20 01:44:08.320299,0 days 00:34:01.876311,tanh,16.0,0.4,3.9044860026252707e-07,0.8,0.995,-0.6294609881666924,4.583849140384025e-05,0.3,5.0,32.0,medium,256.0,0.5364474337194052,,COMPLETE
15,15,6.6967926025390625,2020-11-20 01:22:49.085857,2020-11-20 03:22:20.605149,0 days 01:59:31.519292,relu,128.0,0.1,9.719710584435577e-07,0.99,0.95,-0.66966387149732,5.079263097515149e-05,0.5,20.0,16.0,small,128.0,0.24297689587385196,,COMPLETE
16,16,0.75,2020-11-20 01:44:08.363891,2020-11-20 02:45:43.379292,0 days 01:01:35.015401,tanh,16.0,0.3,2.514640512517881e-08,0.9,0.999,0.14754913418272864,0.009908510297579939,0.5,5.0,8.0,small,8.0,0.21223923789794186,,COMPLETE
17,17,0.75,2020-11-20 02:44:09.579926,2020-11-20 03:43:09.920360,0 days 00:59:00.340434,tanh,32.0,0.2,0.00014340319533473844,0.99,0.995,-1.6098460896559201,0.16038506017884202,5.0,20.0,128.0,medium,64.0,0.01998914321563694,,COMPLETE
