,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,7.216253757476807,2020-11-19 00:30:27.057742,2020-11-19 02:12:14.832638,0 days 01:41:47.774896,16,10000,0.999,10000,-1.4414363890995707,0.00034124724246796973,medium,0.001,32,COMPLETE
1,1,6.531266689300537,2020-11-19 00:30:27.058402,2020-11-19 02:07:12.254959,0 days 01:36:45.196557,256,100000,0.999,10000,-1.129876612215274,0.0003523204183927184,big,0.02,16,COMPLETE
2,2,7.725105285644531,2020-11-19 00:30:27.058951,2020-11-19 02:24:39.730349,0 days 01:54:12.671398,16,10000,0.999,10000,-1.9481675653561212,0.008470731347344055,small,0.02,128,COMPLETE
3,3,7.0755615234375,2020-11-19 02:07:12.256150,2020-11-19 03:46:05.282923,0 days 01:38:53.026773,32,100000,0.98,1000,-2.058887646362323,0.0003996627523421289,medium,0.02,8,COMPLETE
4,4,7.941173553466797,2020-11-19 02:12:14.833887,2020-11-19 03:55:31.068900,0 days 01:43:16.235013,512,10000,0.95,10000,-0.3072998266889968,1.8825727360507924e-05,medium,0.005,256,COMPLETE
5,5,3.602043867111206,2020-11-19 02:24:39.731286,2020-11-19 04:25:20.026931,0 days 02:00:40.295645,32,100000,0.95,0,-0.8855778819466904,0.0002180221693286224,big,0.01,256,COMPLETE
6,6,4.628026008605957,2020-11-19 03:46:05.284142,2020-11-19 05:22:05.125879,0 days 01:35:59.841737,512,10000,0.999,10000,0.12219907386379347,4.237032399288309e-05,small,0.001,256,COMPLETE
7,7,7.875522613525391,2020-11-19 03:55:31.070144,2020-11-19 05:40:39.564681,0 days 01:45:08.494537,32,100000,0.995,1000,-3.4285992895099247,5.2502550193915716e-05,medium,0.02,64,COMPLETE
8,8,7.8836164474487305,2020-11-19 04:25:20.027824,2020-11-19 06:21:45.587030,0 days 01:56:25.559206,256,100000,0.999,10000,-3.4115978205314876,0.009163980917707109,medium,0.005,128,COMPLETE
9,9,0.75,2020-11-19 05:22:05.127147,2020-11-19 07:00:07.030600,0 days 01:38:01.903453,32,10000,0.98,1000,-1.8677970114858016,0.2968706077831324,small,0.02,128,COMPLETE
